City,Customer Age,Customer Name,Customer Segment,Discount,Number of Records,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,State,Unit Price,Zip Code
Annandale,43.0,James Galang,Consumer,0.09,1,2012-09-25,3522,Low,33,0.59,Office Supplies,Large Box,Euro Pro Shark Stick Mini Vacuum,Appliances,-991.07,South,511,1935.17,2012-10-02,Regular Air,49.0,Virginia,60.98,22003
West Memphis,43.0,Marc Crier,Corporate,0.03,1,2012-09-26,41542,High,47,0.63,Furniture,Jumbo Box,Bevis 36 X 72 Conference Tables,Tables,-194.83,South,5852,6181.48,2012-09-27,Delivery Truck,51.94,Arkansas,124.49,72301
Newnan,43.0,Joseph Holt,Home Office,0.01,1,2012-09-26,19075,Critical,36,0.73,Technology,Small Box,Microsoft Natural Multimedia Keyboard,Computer Peripherals,12.95,South,2636,1841.6,2012-09-27,Regular Air,6.5,Georgia,50.98,30265
Davie,43.0,Jack Garza,Corporate,0.07,1,2012-09-26,20069,Critical,6,0.57,Furniture,Small Box,Eldon Executive Woodline Ii Cherry Finish Desk Accessories,Office Furnishings,-88.35,South,2781,247.15,2012-09-28,Regular Air,18.98,Florida,40.89,33314
Kennesaw,43.0,William Brown,Corporate,0.0,1,2012-09-26,31175,Critical,26,0.38,Office Supplies,Small Box,Xerox 1936,Paper,147.08,South,4378,539.66,2012-09-29,Express Air,5.97,Georgia,19.98,30144
Apple Valley,43.0,Mary O'Rourke,Home Office,0.07,1,2012-09-27,49441,Medium,49,0.76,Furniture,Medium Box,"Deflect-O Economat Studded, No Bevel Mat For Low Pile Carpeting",Office Furnishings,100.8,Central,6927,1981.26,2012-09-28,Express Air,8.66,Minnesota,41.32,55124
High Point,43.0,Liz Carlisle,Corporate,0.1,1,2012-09-27,25953,Critical,27,0.47,Office Supplies,Wrap Bag,Lumber Crayons,Pens & Art Supplies,-16.3,South,3632,258.54,2012-09-28,Regular Air,4.82,North Carolina,9.85,27260
High Point,43.0,Liz Carlisle,Corporate,0.04,1,2012-09-27,25953,Critical,19,0.58,Technology,Small Box,Timeport L7089,Telephones And Communication,140.913,South,3633,1972.884,2012-09-28,Regular Air,7.69,North Carolina,125.99,27260
Calexico,43.0,Victoria Pisteka,Corporate,0.04,1,2012-09-27,12007,Not Specified,42,0.38,Office Supplies,Small Box,Avery 487,Labels,64.99,West,1666,152.26,2012-09-29,Regular Air,0.5,California,3.69,92231
Kirkwood,43.0,Meg O'Connel,Small Business,0.06,1,2012-09-28,55461,Medium,16,0.47,Furniture,Small Pack,Magna Visual Magnetic Picture Hangers,Office Furnishings,-34.12,Central,7750,84.01,2012-09-29,Regular Air,5.72,Mo,4.82,63122
Texarkana,43.0,Dan Lawera,Corporate,0.02,1,2012-09-28,16771,High,42,0.65,Furniture,Wrap Bag,Eldon Radial Chair Mat For Low To Medium Pile Carpets,Office Furnishings,339.17,Central,2326,1737.06,2012-09-30,Regular Air,9.2,Texas,39.98,75503
Roy,43.0,Craig Leslie,Consumer,0.02,1,2012-09-28,9219,Low,41,0.37,Office Supplies,Small Box,Xerox 23,Paper,-48.68,West,1266,273.32,2012-09-30,Regular Air,5.14,Utah,6.48,84067
Hollywood,43.0,Sean Braxton,Small Business,0.06,1,2012-09-28,231,High,2,0.57,Office Supplies,Small Box,Hoover Windtunnel™ Plus Canister Vacuum,Appliances,-490.84,South,41,689.74,2012-09-30,Regular Air,19.99,Florida,363.25,33021
Roy,43.0,Craig Leslie,Consumer,0.04,1,2012-09-28,9219,Low,24,0.73,Technology,Small Box,Microsoft Natural Multimedia Keyboard,Computer Peripherals,-13.28,West,1265,1239.81,2012-10-03,Regular Air,6.5,Utah,50.98,84067
College Park,43.0,Michelle Huthwaite,Home Office,0.02,1,2012-09-29,58151,High,38,0.56,Office Supplies,Small Box,Letter Size Cart,Storage & Organization,1515.7,East,8138,5601.1,2012-09-29,Express Air,19.99,Maryland,142.86,20740
College Park,43.0,Michelle Huthwaite,Home Office,0.1,1,2012-09-29,58151,High,33,0.35,Office Supplies,Small Box,Wilson Jones Dubllock® D-Ring Binders,Binders And Binder Accessories,18.1475,East,8137,211.48,2012-09-29,Regular Air,2.99,Maryland,6.75,20740
Carrollton,43.0,Erin Creighton,Corporate,0.02,1,2012-09-29,4354,Not Specified,6,0.56,Furniture,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,7.74,Central,625,49.04,2012-09-30,Regular Air,5.21,Texas,7.38,75007
Commack,43.0,Dennis Kane,Small Business,0.07,1,2012-09-29,44775,Medium,29,0.47,Office Supplies,Wrap Bag,Sanford Major Accent™ Highlighters,Pens & Art Supplies,30.49,East,6325,209.3,2012-09-30,Express Air,2.35,New York,7.08,11725
Knoxville,43.0,Amy Hunt,Consumer,0.01,1,2012-09-29,26913,High,11,0.6,Technology,Small Box,Startac Analog,Telephones And Communication,-118.8,South,3767,642.9145,2012-10-01,Regular Air,8.99,Tennessee,65.99,37918
Twentynine Palms,43.0,Tamara Willingham,Corporate,0.01,1,2012-09-29,26689,High,2,0.35,Furniture,Small Pack,"Ge 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Office Furnishings,-87.46,West,3734,198.44,2012-10-02,Regular Air,8.99,California,99.23,92277
Killeen,43.0,Nat Carroll,Home Office,0.03,1,2012-09-29,19716,Low,5,0.59,Technology,Small Box,7160,Telephones And Communication,-458.744,Central,2731,616.1055,2012-10-06,Regular Air,4.2,Texas,140.99,76541
Saint Petersburg,43.0,Tanja Norvell,Corporate,0.04,1,2012-09-30,4451,Critical,47,0.59,Office Supplies,Small Pack,Boston 1730 Standup Electric Pencil Sharpener,Pens & Art Supplies,-65.21,South,635,992.95,2012-09-30,Regular Air,8.99,Florida,21.38,33710
Cincinnati,43.0,Alejandro Grove,Corporate,0.02,1,2012-09-30,41728,High,10,0.57,Furniture,Jumbo Drum,Hon Deluxe Fabric Upholstered Stacking Chairs,Chairs & Chairmats,41.53,East,5881,2549.58,2012-10-01,Delivery Truck,62.94,Ohio,243.98,45231
Layton,43.0,Ann Steele,Corporate,0.07,1,2012-09-30,19140,Medium,47,0.36,Office Supplies,Small Box,Wilson Jones® Four-Pocket Poly Binders,Binders And Binder Accessories,-66.0445,West,2645,314.0,2012-10-01,Regular Air,5.27,Utah,6.54,84041
Lehi,43.0,Ann Steele,Corporate,0.09,1,2012-09-30,19140,Medium,50,0.4,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips To Go,Rubber Bands,15.66,West,2646,155.54,2012-10-01,Regular Air,1.35,Utah,3.29,84043
Townsend,43.0,Karen Carlisle,Home Office,0.07,1,2012-09-30,900,Not Specified,29,0.36,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 Sheets",Binders And Binder Accessories,507.5775,East,141,1193.65,2012-10-01,Regular Air,2.99,Ma,40.98,1469
Crofton,43.0,Michelle Tran,Corporate,0.08,1,2012-09-30,4708,Critical,29,0.37,Office Supplies,Small Box,Xerox 220,Paper,-119.32,East,675,180.38,2012-10-02,Regular Air,7.49,Maryland,6.48,21114
Cincinnati,43.0,Alejandro Grove,Corporate,0.08,1,2012-09-30,41728,High,28,0.38,Office Supplies,Small Box,Gbc Docubind Tl300 Electric Binding System,Binders And Binder Accessories,9527.4715,East,5880,23106.46,2012-10-02,Regular Air,19.99,Ohio,896.99,45231
Decatur,43.0,Ionia Mcgrath,Home Office,0.03,1,2012-09-30,30278,Low,50,0.56,Technology,Small Box,8860,Telephones And Communication,832.617,South,4253,2860.93,2012-10-09,Regular Air,5.26,Alabama,65.99,35601
Schaumburg,43.0,Doug Bickford,Small Business,0.01,1,2012-10-01,53797,Critical,10,0.61,Furniture,Jumbo Box,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,-213.32,Central,7530,623.71,2012-10-01,Delivery Truck,36.61,Illinois,58.14,60193
Hudson,43.0,Tom Prescott,Small Business,0.06,1,2012-10-01,37473,Low,8,0.36,Office Supplies,Wrap Bag,Array® Memo Cubes,Paper,2.12,East,5267,43.72,2012-10-01,Regular Air,2.04,New Hampshire,5.18,3051
Rutland,43.0,Cathy Hwang,Home Office,0.05,1,2012-10-01,49056,High,5,0.8,Technology,Small Pack,Accessory6,Telephones And Communication,-260.348,East,6881,248.3955,2012-10-01,Regular Air,5.0,Vermont,55.99,5701
Columbus,43.0,Carl Weiss,Consumer,0.08,1,2012-10-01,33701,Medium,35,0.4,Office Supplies,Small Box,Catalog Binders With Expanding Posts,Binders And Binder Accessories,473.3905,South,4736,2333.06,2012-10-03,Express Air,19.99,Mississippi,67.28,39701
Gainesville,43.0,Roy Skaria,Corporate,0.03,1,2012-10-01,16321,Not Specified,50,0.56,Office Supplies,Small Box,Letter Size Cart,Storage & Organization,1871.26,South,2270,7156.56,2012-10-03,Regular Air,19.99,Florida,142.86,32601
Manchester,43.0,Cathy Hwang,Home Office,0.05,1,2012-10-01,49056,High,46,0.37,Office Supplies,Small Box,Xerox 212,Paper,-209.58,East,6880,300.07,2012-10-03,Regular Air,8.4,New Hampshire,6.48,3101
Burbank,43.0,Tom Prescott,Small Business,0.1,1,2012-10-01,37473,Low,42,0.81,Office Supplies,Wrap Bag,*Staples* Letter Opener,"Scissors, Rulers And Trimmers",-195.93,West,5266,88.23,2012-10-05,Regular Air,5.0,California,2.18,91505
Valparaiso,43.0,Joy Smith,Corporate,0.03,1,2012-10-02,18788,Not Specified,27,0.6,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,-19.33,Central,2600,566.12,2012-10-03,Regular Air,11.17,Indiana,19.99,46383
Yucaipa,43.0,Duane Noonan,Corporate,0.03,1,2012-10-02,15654,Not Specified,27,0.55,Furniture,Jumbo Box,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Bookcases,1383.24,West,2176,7937.59,2012-10-04,Delivery Truck,54.92,California,300.98,92399
Overland Park,43.0,Anna Andreadi,Small Business,0.0,1,2012-10-02,51072,Critical,43,0.66,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,1268.65,Central,7158,7036.11,2012-10-04,Regular Air,19.99,Kansas,161.55,66212
Yucaipa,43.0,Duane Noonan,Corporate,0.02,1,2012-10-02,15654,Not Specified,4,0.57,Technology,Jumbo Drum,Epson Dfx-8500 Dot Matrix Printer,Office Machines,-4991.4249,West,2177,9396.41,2012-10-04,Delivery Truck,29.7,California,2550.14,92399
Willoughby,43.0,Jas O'Carroll,Corporate,0.03,1,2012-10-04,50051,Medium,15,0.56,Furniture,Small Box,"Eldon Expressions™ Desk Accessory, Wood Photo Frame, Mahogany",Office Furnishings,91.08,East,7013,308.64,2012-10-04,Express Air,6.38,Ohio,19.04,44094
Fairmont,43.0,Grant Carroll,Small Business,0.1,1,2012-10-04,49313,Medium,34,0.57,Furniture,Small Box,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Office Furnishings,-22.88,East,6911,307.76,2012-10-04,Express Air,4.93,West Virginia,9.38,26554
Melbourne,43.0,Natalie Webber,Consumer,0.02,1,2012-10-04,15075,Medium,24,0.46,Furniture,Small Box,"Howard Miller 16"" Diameter Gallery Wall Clock",Office Furnishings,622.89,South,2107,1548.43,2012-10-04,Regular Air,14.48,Florida,63.94,32935
Fairmont,43.0,Grant Carroll,Small Business,0.05,1,2012-10-04,49313,Medium,36,0.36,Technology,Small Pack,Accessory23,Telephones And Communication,574.155,East,6912,1129.9305,2012-10-05,Regular Air,1.25,West Virginia,35.99,26554
Bartlesville,43.0,Jas O'Carroll,Corporate,0.09,1,2012-10-04,50051,Medium,4,0.73,Furniture,Wrap Bag,Eldon Econocleat® Chair Mats For Low Pile Carpets,Office Furnishings,10.2,Central,7012,185.15,2012-10-06,Regular Air,34.2,Oklahoma,41.47,74006
North Arlington,43.0,Deanra Eno,Corporate,0.02,1,2012-10-04,44583,Low,21,0.46,Furniture,Wrap Bag,Coloredge Poster Frame,Office Furnishings,95.0,East,6299,315.07,2012-10-06,Regular Air,5.3,New Jersey,14.2,7031
Bartlesville,43.0,Jas O'Carroll,Corporate,0.02,1,2012-10-04,50051,Medium,17,0.39,Office Supplies,Small Box,Avery Durable Poly Binders,Binders And Binder Accessories,-72.059,Central,7011,103.72,2012-10-06,Regular Air,6.98,Oklahoma,5.53,74006
Harrison,43.0,John Stevenson,Small Business,0.02,1,2012-10-04,3841,Not Specified,19,0.59,Office Supplies,Large Box,Euro Pro Shark Stick Mini Vacuum,Appliances,-552.1,East,566,1184.45,2012-10-06,Regular Air,49.0,New York,60.98,10528
Harrison,43.0,John Stevenson,Small Business,0.02,1,2012-10-04,3841,Not Specified,20,0.35,Office Supplies,Small Box,Fellowes Pb500 Electric Punch Plastic Comb Binding Machine With Manual Bind,Binders And Binder Accessories,11535.282,East,567,25409.63,2012-10-06,Regular Air,19.99,New York,1270.99,10528
Harrison,43.0,John Stevenson,Small Business,0.05,1,2012-10-04,3841,Not Specified,43,0.6,Technology,Small Box,Startac 8000,Telephones And Communication,1680.228,East,568,7308.283,2012-10-06,Express Air,8.99,New York,205.99,10528
Merritt Island,43.0,Natalie Webber,Consumer,0.01,1,2012-10-04,15075,Medium,10,0.79,Technology,Small Pack,"Imation 3.5, Diskette 44766 Hghld3.52Hd/Fm, 10/Pack",Computer Peripherals,-56.3,South,2108,54.84,2012-10-06,Regular Air,5.14,Florida,5.02,32953
Boston,43.0,Deanra Eno,Corporate,0.1,1,2012-10-04,44583,Low,6,0.55,Office Supplies,Small Box,Hoover Replacement Belt For Commercial Guardsman Heavy-Duty Upright Vacuum,Appliances,-19.74,East,6298,17.59,2012-10-09,Regular Air,5.0,Ma,2.22,2108
Potomac,43.0,Bart Pistole,Consumer,0.04,1,2012-10-04,19111,Low,24,0.52,Technology,Small Pack,"80 Minute Slim Jewel Case Cd-R , 10/Pack - Staples",Computer Peripherals,10.79,East,2641,195.83,2012-10-09,Regular Air,1.99,Maryland,8.33,20854
Paragould,43.0,Keith Dawkins,Home Office,0.1,1,2012-10-04,30214,Low,38,0.39,Office Supplies,Small Box,"Avery® 3 1/2"" Diskette Storage Pages, 10/Pack",Binders And Binder Accessories,-21.2635,South,4246,375.61,2012-10-11,Express Air,5.75,Arkansas,10.44,72450
Saint Paul,43.0,Chad Sievert,Corporate,0.01,1,2012-10-05,9923,High,27,0.43,Furniture,Small Box,Eldon® Wave Desk Accessories,Office Furnishings,-96.03,Central,1364,63.71,2012-10-05,Regular Air,5.33,Minnesota,2.08,55106
Saint Paul,43.0,Chad Sievert,Corporate,0.03,1,2012-10-05,9923,High,14,0.65,Office Supplies,Jumbo Drum,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,-115.08,Central,1365,5388.8,2012-10-06,Delivery Truck,99.0,Minnesota,370.98,55106
Iselin,43.0,Paul Knutson,Corporate,0.01,1,2012-10-05,20518,Critical,7,0.6,Technology,Jumbo Drum,Panasonic Kx-P3200 Dot Matrix Printer,Office Machines,-313.1304,East,2850,2205.84,2012-10-06,Delivery Truck,18.06,New Jersey,297.48,8830
Hackensack,43.0,Paul Knutson,Corporate,0.07,1,2012-10-05,20518,Critical,49,0.59,Technology,Small Box,2160I,Telephones And Communication,2418.561,East,2849,8252.361,2012-10-06,Regular Air,4.2,New Jersey,200.99,7601
Lima,43.0,Katherine Nockton,Home Office,0.03,1,2012-10-05,41764,Not Specified,16,0.66,Furniture,Jumbo Box,"Chromcraft 48"" X 96"" Racetrack Double Pedestal Table",Tables,467.1243,East,5886,5105.06,2012-10-07,Delivery Truck,29.2,Ohio,320.64,45801
Arvada,43.0,Duane Noonan,Corporate,0.01,1,2012-10-06,57511,Critical,32,0.38,Office Supplies,Small Box,Avery 498,Labels,41.54,West,8060,98.46,2012-10-07,Regular Air,0.5,Colorado,2.89,80004
Lafayette,43.0,Nick Crebassa,Corporate,0.07,1,2012-10-06,46881,Critical,31,0.36,Office Supplies,Small Box,Wilson Jones Impact Binders,Binders And Binder Accessories,-80.3045,South,6584,176.28,2012-10-08,Express Air,5.74,Louisiana,5.18,70506
Arvada,43.0,Duane Noonan,Corporate,0.0,1,2012-10-06,57511,Critical,11,0.8,Technology,Small Pack,Accessory6,Telephones And Communication,-173.25,West,8061,569.636,2012-10-08,Regular Air,5.0,Colorado,55.99,80004
Moscow,43.0,John Murray,Small Business,0.04,1,2012-10-07,46533,High,3,0.72,Furniture,Medium Box,Eldon Cleatmat® Chair Mats For Medium Pile Carpets,Office Furnishings,49.76,West,6544,215.24,2012-10-08,Regular Air,52.2,Idaho,55.5,83843
Jamestown,43.0,Mathew Reese,Small Business,0.03,1,2012-10-07,8162,Medium,25,0.75,Technology,Small Box,Belkin Mediaboard 104- Keyboard,Computer Peripherals,-82.26,East,1112,670.39,2012-10-08,Regular Air,4.0,New York,27.48,14701
Jamestown,43.0,Mathew Reese,Small Business,0.1,1,2012-10-07,8162,Medium,32,0.48,Technology,Small Box,Motorola Sb4200 Cable Modem,Computer Peripherals,1314.12,East,1113,5618.4,2012-10-08,Regular Air,19.99,New York,179.99,14701
Garden City,43.0,Liz Price,Consumer,0.05,1,2012-10-07,47520,Not Specified,13,0.56,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,598.24,Central,6677,3939.89,2012-10-09,Delivery Truck,48.8,Michigan,291.73,48135
Garden City,43.0,Liz Price,Consumer,0.09,1,2012-10-07,47520,Not Specified,36,0.35,Office Supplies,Small Box,Gbc Velobinder Strips,Binders And Binder Accessories,-64.4115,Central,6676,277.88,2012-10-09,Regular Air,6.16,Michigan,7.68,48135
Garden City,43.0,Liz Price,Consumer,0.04,1,2012-10-07,47520,Not Specified,47,0.38,Office Supplies,Small Box,Xerox Blank Computer Paper,Paper,257.31,Central,6678,925.3,2012-10-09,Regular Air,5.77,Michigan,19.98,48135
Jamestown,43.0,Mathew Reese,Small Business,0.1,1,2012-10-07,8162,Medium,42,0.73,Office Supplies,Small Box,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Storage & Organization,10.86,East,1114,5450.6,2012-10-09,Regular Air,19.99,New York,140.85,14701
University City,43.0,Ken Lonsdale,Consumer,0.08,1,2012-10-07,26016,High,44,0.56,Technology,Small Box,Kf 788,Telephones And Communication,314.838,Central,3639,1642.642,2012-10-09,Express Air,4.99,Mo,45.99,63130
Moscow,43.0,John Murray,Small Business,0.1,1,2012-10-07,46533,High,12,0.59,Technology,Small Box,Startac 7760,Telephones And Communication,-82.06,West,6545,654.874,2012-10-09,Express Air,3.99,Idaho,65.99,83843
University City,43.0,Ken Lonsdale,Consumer,0.09,1,2012-10-07,26016,High,2,0.76,Technology,Small Box,Micro Innovations Media Access Pro Keyboard,Computer Peripherals,-358.43,Central,3638,154.94,2012-10-09,Regular Air,4.0,Mo,77.51,63130
Ossining,43.0,Pamela Stobb,Consumer,0.07,1,2012-10-08,36739,Not Specified,27,0.55,Furniture,Small Pack,Aluminum Document Frame,Office Furnishings,97.19,East,5162,331.17,2012-10-08,Regular Air,2.85,New York,12.22,10562
Cary,43.0,Denise Monton,Home Office,0.0,1,2012-10-08,50147,Medium,13,0.36,Office Supplies,Small Box,Personal Creations™ Ink Jet Cards And Labels,Paper,16.34,South,7028,163.62,2012-10-08,Regular Air,5.43,North Carolina,11.48,27511
Atlanta,43.0,Peter Fuller,Corporate,0.07,1,2012-10-08,35136,Critical,23,0.4,Office Supplies,Wrap Bag,Prang Colored Pencils,Pens & Art Supplies,17.17,South,4938,68.73,2012-10-09,Regular Air,0.81,Georgia,2.94,30318
Cary,43.0,Denise Monton,Home Office,0.05,1,2012-10-08,50147,Medium,42,0.4,Office Supplies,Small Box,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Envelopes,211.04,South,7027,1504.01,2012-10-09,Regular Air,14.72,North Carolina,35.89,27511
Lansing,43.0,Ralph Knight,Consumer,0.1,1,2012-10-08,28675,Critical,15,0.55,Technology,Small Box,252,Telephones And Communication,4.392,Central,4017,822.8425,2012-10-09,Regular Air,5.92,Illinois,65.99,60438
Bullhead City,43.0,Quincy Jones,Corporate,0.04,1,2012-10-08,21541,Not Specified,43,0.6,Furniture,Jumbo Box,"Hon Metal Bookcases, Black",Bookcases,-78.36,West,2983,3044.7,2012-10-10,Delivery Truck,26.74,Arizona,70.98,86442
Ossining,43.0,Pamela Stobb,Consumer,0.07,1,2012-10-08,36739,Not Specified,16,0.38,Office Supplies,Small Box,Ibico Presentation Index For Binding Systems,Binders And Binder Accessories,-55.522,East,5161,68.04,2012-10-10,Regular Air,5.26,New York,3.98,10562
Cabot,43.0,Nicole Brennan,Consumer,0.08,1,2012-10-09,14785,High,20,0.36,Office Supplies,Small Box,Avery 493,Labels,39.69,South,2065,94.86,2012-10-09,Regular Air,0.5,Arkansas,4.91,72023
Carpentersville,43.0,Eugene Barchas,Corporate,0.0,1,2012-10-09,2791,High,47,0.37,Office Supplies,Small Box,Avery Binder Labels,Binders And Binder Accessories,-236.2675,Central,413,191.67,2012-10-09,Regular Air,7.01,Illinois,3.89,60110
Aurora,43.0,Ann Chong,Corporate,0.09,1,2012-10-09,18308,Not Specified,15,0.75,Technology,Small Box,Fellowes 17-Key Keypad For Ps/2 Interface,Computer Peripherals,-92.58,Central,2521,436.05,2012-10-09,Regular Air,4.0,Illinois,30.73,60505
Cabot,43.0,Nicole Brennan,Consumer,0.02,1,2012-10-09,14785,High,25,0.55,Office Supplies,Small Pack,"Boston Model 1800 Electric Pencil Sharpener, Gray",Pens & Art Supplies,146.51,South,2066,744.12,2012-10-10,Regular Air,6.17,Arkansas,28.15,72023
Carpentersville,43.0,Eugene Barchas,Corporate,0.1,1,2012-10-09,2791,High,18,0.4,Office Supplies,Small Box,"Ibm Multi-Purpose Copy Paper, 8 1/2 X 11"", Case",Paper,118.94,Central,415,507.64,2012-10-10,Regular Air,5.76,Illinois,30.98,60110
Tysons Corner,43.0,Allen Armold,Home Office,0.06,1,2012-10-09,13920,Critical,24,0.59,Office Supplies,Small Pack,Acme® Office Executive Series Stainless Steel Trimmers,"Scissors, Rulers And Trimmers",-78.64,South,1942,207.21,2012-10-10,Regular Air,6.14,Virginia,8.57,22102
Jackson,43.0,Jennifer Jackson,Home Office,0.08,1,2012-10-09,59591,Not Specified,34,0.37,Technology,Jumbo Drum,Hewlett-Packard Deskjet 3820 Color Inkjet Printer,Office Machines,1211.76,South,8340,3361.84,2012-10-10,Delivery Truck,14.0,Mississippi,100.97,39212
Aurora,43.0,Ann Chong,Corporate,0.0,1,2012-10-09,18308,Not Specified,49,0.57,Technology,Small Box,Startac St7762,Telephones And Communication,1465.866,Central,2522,5247.4835,2012-10-10,Regular Air,8.08,Illinois,125.99,60505
Carpentersville,43.0,Eugene Barchas,Corporate,0.09,1,2012-10-09,2791,High,49,0.64,Furniture,Jumbo Drum,Hon Every-Day® Chair Series Swivel Task Chairs,Chairs & Chairmats,80.44,Central,414,5586.33,2012-10-11,Delivery Truck,30.0,Illinois,120.98,60110
Flower Mound,43.0,Erin Ashbrook,Consumer,0.1,1,2012-10-09,23008,Critical,10,0.35,Office Supplies,Small Box,Gbc Velobinder Electric Binding Machine,Binders And Binder Accessories,323.323,Central,3206,1136.47,2012-10-11,Express Air,9.07,Texas,120.98,75028
Tysons Corner,43.0,Allen Armold,Home Office,0.1,1,2012-10-09,13920,Critical,25,0.38,Office Supplies,Wrap Bag,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,338.01,South,1941,901.32,2012-10-11,Express Air,5.08,Virginia,37.94,22102
Aurora,43.0,Ann Chong,Corporate,0.05,1,2012-10-09,18308,Not Specified,30,0.38,Office Supplies,Small Box,Durable Pressboard Binders,Binders And Binder Accessories,15.725,Central,2520,114.12,2012-10-11,Regular Air,1.49,Illinois,3.8,60505
Jackson,43.0,Jennifer Jackson,Home Office,0.07,1,2012-10-09,59591,Not Specified,29,0.37,Office Supplies,Small Box,Xerox 223,Paper,-91.7,South,8341,195.82,2012-10-11,Regular Air,7.07,Mississippi,6.48,39212
Flower Mound,43.0,Erin Ashbrook,Consumer,0.02,1,2012-10-09,23008,Critical,2,0.74,Technology,Small Box,Adesso Programmable 142-Key Keyboard,Computer Peripherals,-522.78,Central,3207,325.81,2012-10-11,Express Air,6.5,Texas,152.48,75028
Port Charlotte,43.0,Phillip Flathmann,Small Business,0.03,1,2012-10-10,54819,Low,46,0.58,Technology,Small Box,6120,Telephones And Communication,624.123,South,7651,2710.5055,2012-10-10,Regular Air,8.8,Florida,65.99,33952
Stevens Point,43.0,Thomas Boland,Corporate,0.09,1,2012-10-10,16610,High,19,0.4,Office Supplies,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",Envelopes,187.57,Central,2303,659.13,2012-10-12,Regular Air,6.66,Wisconsin,35.94,54481
Waldorf,43.0,Jason Klamczynski,Home Office,0.1,1,2012-10-10,28002,Critical,5,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" X 7""",Paper,-3.64,East,3928,43.55,2012-10-12,Regular Air,2.15,Maryland,9.11,20601
Port Charlotte,43.0,Phillip Flathmann,Small Business,0.09,1,2012-10-10,54819,Low,26,0.39,Office Supplies,Wrap Bag,Staples Metal Binder Clips,Rubber Bands,11.42,South,7650,64.03,2012-10-12,Regular Air,0.8,Florida,2.62,33952
Port Charlotte,43.0,Phillip Flathmann,Small Business,0.07,1,2012-10-10,54819,Low,10,0.54,Furniture,Medium Box,"Dax Value U-Channel Document Frames, Easel Back",Office Furnishings,-20.68,South,7649,53.32,2012-10-15,Regular Air,5.71,Florida,4.97,33952
Oakland,43.0,Berenike Kampe,Corporate,0.09,1,2012-10-11,48420,Low,46,0.44,Furniture,Small Pack,"Executive Impressions 13"" Clairmont Wall Clock",Office Furnishings,229.6,West,6794,863.26,2012-10-13,Express Air,6.15,California,19.23,94601
Medina,43.0,Mick Hernandez,Home Office,0.0,1,2012-10-11,9926,High,25,0.55,Furniture,Medium Box,Dax Cubicle Frames - 8X10,Office Furnishings,-56.97,East,1369,158.83,2012-10-13,Regular Air,5.92,Ohio,5.77,44256
Frankfort,43.0,Chuck Magee,Corporate,0.01,1,2012-10-11,46756,Medium,3,0.37,Office Supplies,Small Box,"Array® Parchment Paper, Assorted Colors",Paper,-22.45,Central,6574,33.64,2012-10-13,Regular Air,11.15,Indiana,7.28,46041
Martinez,43.0,John Dryer,Corporate,0.03,1,2012-10-11,26146,Low,13,0.58,Office Supplies,Small Box,"Eureka The Boss® Plus 12-Amp Hard Box Upright Vacuum, Red",Appliances,107.31,South,3654,1351.76,2012-10-18,Regular Air,18.93,Georgia,104.65,30907
Martinez,43.0,John Dryer,Corporate,0.03,1,2012-10-11,26146,Low,49,0.58,Office Supplies,Small Pack,"Hunt Boston® Vista® Battery-Operated Pencil Sharpener, Black",Pens & Art Supplies,-148.85,South,3655,595.4,2012-10-20,Regular Air,7.95,Georgia,11.66,30907
Sunrise,43.0,Toby Knight,Corporate,0.03,1,2012-10-12,40708,Not Specified,15,0.48,Office Supplies,Wrap Bag,Sanford Liquid Accent Highlighters,Pens & Art Supplies,19.59,South,5736,103.55,2012-10-13,Regular Air,1.5,Florida,6.68,33322
Prescott Valley,43.0,Cindy Stewart,Consumer,0.06,1,2012-10-12,50786,Low,4,0.36,Technology,Jumbo Drum,Epson C82 Color Inkjet Printer,Office Machines,-192.2961,West,7117,487.72,2012-10-19,Delivery Truck,14.0,Arizona,119.99,86314
